Probability of getting >= K points with N rolls of six-sided die,,,,,,,,,,
,1 Roll, 2 Rolls,3 Rolls,4 Rolls,5 Rolls,6 Rolls,7 Rolls,8 Rolls,9 Rolls,10 Rolls
25 Points,0,0,0,0,0.031764403292181,0.148683984910837,0.229338134430727,0.22569146757354,0.193318988784738,0.161489028179986
26 Points,0,0,0,0,0.016203703703704,0.112547153635117,0.20770819044353,0.220452174782807,0.192720637733069,0.161456084141984
27 Points,0,0,0,0,0.007201646090535,0.080268347050755,0.182202360539552,0.212628958047554,0.191590915225067,0.161374964409854
28 Points,0,0,0,0,0.002700617283951,0.053562242798354,0.1540709304984,0.201721703055936,0.189620722831885,0.161194863720173
29 Points,0,0,0,0,0.000771604938272,0.033179012345679,0.125010716735254,0.187468445168419,0.186424456542448,0.160829204744153
30 Points,0,0,0,0,0.000128600823045,0.018904320987654,0.096879286694102,0.169964444253925,0.181574240778845,0.160143366764255
31 Points,0,0,0,0,0,0.00977366255144,0.071373456790124,0.14972172210791,0.17466045810471,0.158945953519534
32 Points,0,0,0,0,0,0.004501028806584,0.049743512802926,0.127645247485139,0.165372620884774,0.156988495518552
33 Points,0,0,0,0,0,0.001800411522634,0.032614597622314,0.104922791876238,0.153584212105624,0.153978465580492
34 Points,0,0,0,0,0,0.000600137174211,0.019986711248285,0.082846317253468,0.139420260345222,0.14960874985711
35 Points,0,0,0,0,0,0.000150034293553,0.011359739368999,0.062603595107453,0.123287108481939,0.143602664736066
36 Points,0,0,0,0,0,2.14E-05,0.005929926840421,0.045099594192958,0.10585008716278,0.135768632036529
37 Points,0,0,0,0,0,0,0.002804212391404,0.030846336305441,0.087956612305035,0.126054109987045
38 Points,0,0,0,0,0,0,0.001178840877915,0.019939081313824,0.070519590985876,0.114585714830056
39 Points,0,0,0,0,0,0,0.000428669410151,0.01211586457857,0.054386439122593,0.101683046733433
40 Points,0,0,0,0,0,0,0.000128600823045,0.006876571787837,0.040222487362191,0.087838943213475
41 Points,0,0,0,0,0,0,2.86E-05,0.003616898148148,0.028434078583041,0.073666639676371
42 Points,0,0,0,0,0,0,3.57E-06,0.001745041723823,0.019146241363105,0.059822536156413
43 Points,0,0,0,0,0,0,0,0.000761483577199,0.01223245868897,0.046919868059789
44 Points,0,0,0,0,0,0,0,0.000294710219479,0.007382242925367,0.035451472902801
45 Points,0,0,0,0,0,0,0,9.82E-05,0.004185976635929,0.025736950853317
46 Points,0,0,0,0,0,0,0,2.68E-05,0.002215784242748,0.017902918153779
47 Points,0,0,0,0,0,0,0,5.36E-06,0.001086061734746,0.011896833032736
48 Points,0,0,0,0,0,0,0,5.95E-07,0.000487710683077,0.007527117309353
49 Points,0,0,0,0,0,0,0,0,0.000197763457044,0.004517087371293
50 Points,0,0,0,0,0,0,0,0,7.09E-05,0.002559629370311
